Frame;Timestamp;Real Hand Position;Real Hand Rotation;Virtual Hand Position;Virtual Hand Rotation;Target;Redirection Technique;Target Real Position;Target Real Rotation;Target Virtual Position;Target Virtual Rotation;Body Position;Body Rotation;
91;25.02.2024 18:22:37 166;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
92;25.02.2024 18:22:37 180;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
93;25.02.2024 18:22:37 193;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
94;25.02.2024 18:22:37 207;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
95;25.02.2024 18:22:37 221;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
96;25.02.2024 18:22:37 235;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
97;25.02.2024 18:22:37 248;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
98;25.02.2024 18:22:37 263;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
99;25.02.2024 18:22:37 276;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
100;25.02.2024 18:22:37 291;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
101;25.02.2024 18:22:37 304;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
102;25.02.2024 18:22:37 318;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
103;25.02.2024 18:22:37 332;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
104;25.02.2024 18:22:37 346;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
105;25.02.2024 18:22:37 360;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
106;25.02.2024 18:22:37 374;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
107;25.02.2024 18:22:37 388;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
108;25.02.2024 18:22:37 401;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
109;25.02.2024 18:22:37 416;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
110;25.02.2024 18:22:37 429;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
111;25.02.2024 18:22:37 443;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
112;25.02.2024 18:22:37 457;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
113;25.02.2024 18:22:37 470;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
114;25.02.2024 18:22:37 485;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
115;25.02.2024 18:22:37 498;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
116;25.02.2024 18:22:37 512;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
117;25.02.2024 18:22:37 525;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
118;25.02.2024 18:22:37 539;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
119;25.02.2024 18:22:37 554;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
120;25.02.2024 18:22:37 567;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
121;25.02.2024 18:22:37 581;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
122;25.02.2024 18:22:37 595;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
123;25.02.2024 18:22:37 609;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
124;25.02.2024 18:22:37 623;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
125;25.02.2024 18:22:37 637;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
126;25.02.2024 18:22:37 651;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
127;25.02.2024 18:22:37 665;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
128;25.02.2024 18:22:37 678;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
129;25.02.2024 18:22:37 692;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
130;25.02.2024 18:22:37 706;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
131;25.02.2024 18:22:37 720;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
132;25.02.2024 18:22:37 734;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
133;25.02.2024 18:22:37 748;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
134;25.02.2024 18:22:37 762;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
135;25.02.2024 18:22:37 777;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
136;25.02.2024 18:22:37 791;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
137;25.02.2024 18:22:37 804;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
138;25.02.2024 18:22:37 819;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
139;25.02.2024 18:22:37 832;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
140;25.02.2024 18:22:37 846;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
141;25.02.2024 18:22:37 859;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
142;25.02.2024 18:22:37 873;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
143;25.02.2024 18:22:37 886;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
144;25.02.2024 18:22:37 900;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
145;25.02.2024 18:22:37 915;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
146;25.02.2024 18:22:37 928;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
147;25.02.2024 18:22:37 942;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
148;25.02.2024 18:22:37 956;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
149;25.02.2024 18:22:37 970;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
150;25.02.2024 18:22:37 984;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
151;25.02.2024 18:22:37 998;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
152;25.02.2024 18:22:38 13;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
153;25.02.2024 18:22:38 26;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
154;25.02.2024 18:22:38 39;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
155;25.02.2024 18:22:38 53;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
156;25.02.2024 18:22:38 67;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
157;25.02.2024 18:22:38 81;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
158;25.02.2024 18:22:38 94;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
159;25.02.2024 18:22:38 108;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
160;25.02.2024 18:22:38 122;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
161;25.02.2024 18:22:38 136;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
162;25.02.2024 18:22:38 150;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
163;25.02.2024 18:22:38 163;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
164;25.02.2024 18:22:38 178;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
165;25.02.2024 18:22:38 192;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
166;25.02.2024 18:22:38 206;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
167;25.02.2024 18:22:38 221;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
168;25.02.2024 18:22:38 237;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
169;25.02.2024 18:22:38 249;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
170;25.02.2024 18:22:38 262;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
171;25.02.2024 18:22:38 277;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
172;25.02.2024 18:22:38 290;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
173;25.02.2024 18:22:38 304;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
174;25.02.2024 18:22:38 318;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
175;25.02.2024 18:22:38 332;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
176;25.02.2024 18:22:38 345;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
177;25.02.2024 18:22:38 359;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
178;25.02.2024 18:22:38 373;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
179;25.02.2024 18:22:38 388;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
180;25.02.2024 18:22:38 400;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
181;25.02.2024 18:22:38 414;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
182;25.02.2024 18:22:38 428;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
